skill_match_percentage,critical_skill_match_percentage,missing_skills_count,critical_missing_skills_count,project_relevance_score,certification_relevance_score,internship_relevance_score,resume_completeness_score,keyword_match_score,role_category_match_score,readiness_label
94.6,84.2,2.0,1.0,8.3,8.1,8.0,99.6,93.4,91.5,3.0
30.1,51.0,10.0,3.0,4.4,1.6,8.8,97.0,82.9,68.2,0.0
38.4,44.7,9.0,2.0,5.5,6.0,4.4,92.2,62.2,61.3,0.0
31.7,65.9,5.0,5.0,4.3,6.9,3.0,66.7,54.5,62.4,0.0
74.3,47.4,9.0,5.0,3.3,5.3,4.2,85.6,49.4,40.8,0.0
43.5,31.7,8.0,2.0,1.7,1.6,3.5,90.6,46.3,54.4,0.0
97.6,88.4,0.0,1.0,8.4,9.7,7.2,87.8,95.9,88.5,3.0
51.9,64.9,6.0,5.0,3.4,2.7,3.3,97.2,63.6,71.4,0.0
57.6,65.3,9.0,2.0,1.4,3.0,4.3,75.2,43.1,50.5,0.0
77.3,33.9,7.0,4.0,5.2,3.3,3.7,89.0,39.0,33.1,0.0
81.2,80.6,0.0,0.0,7.7,6.8,6.5,59.3,81.4,84.2,3.0
67.8,55.9,5.0,4.0,1.5,0.2,9.4,97.0,81.5,62.2,0.0
58.0,62.5,4.0,2.0,2.7,3.0,9.9,97.1,92.4,67.0,1.0
65.4,41.8,9.0,4.0,4.1,6.4,3.9,86.5,53.7,44.5,0.0
49.8,33.9,10.0,5.0,3.8,4.7,1.7,76.5,49.5,46.0,0.0
97.0,91.9,0.0,0.0,7.3,8.3,8.0,96.9,91.1,87.3,3.0
92.3,84.4,2.0,1.0,8.4,7.2,7.7,93.3,92.6,81.8,3.0
78.0,83.9,1.0,0.0,7.6,6.9,8.9,60.4,82.1,77.5,3.0
75.4,83.6,1.0,4.0,3.4,4.3,7.2,62.7,93.8,77.6,1.0
76.3,83.7,3.0,0.0,9.5,6.4,6.3,90.5,78.7,89.1,3.0
67.0,25.9,8.0,3.0,4.9,2.7,9.9,92.8,91.4,55.6,0.0
29.5,33.2,5.0,3.0,3.8,1.1,2.0,94.7,31.3,43.0,0.0
37.8,23.6,6.0,3.0,3.1,3.8,3.2,64.7,32.9,37.5,0.0
40.9,48.5,4.0,5.0,4.4,4.9,4.7,79.9,33.2,31.8,0.0
77.3,85.0,0.0,1.0,8.7,8.6,6.7,78.8,82.0,99.9,3.0
50.9,68.5,7.0,4.0,2.6,0.7,0.8,79.9,56.5,48.0,0.0
81.3,81.8,0.0,1.0,9.6,8.9,6.0,59.2,76.4,88.0,3.0
27.8,42.1,6.0,3.0,5.6,3.1,3.5,89.5,54.4,40.8,0.0
30.1,47.6,10.0,2.0,3.3,0.8,4.2,84.3,50.4,42.3,0.0
55.3,32.2,7.0,3.0,5.6,3.6,4.4,48.3,61.6,48.7,0.0
40.6,61.0,6.0,5.0,5.3,3.1,2.4,85.3,45.1,72.0,0.0
46.1,31.9,10.0,5.0,1.2,5.2,3.5,51.5,56.5,66.9,0.0
52.6,21.9,8.0,4.0,5.3,6.1,2.2,79.1,58.9,48.4,0.0
99.2,89.4,2.0,1.0,8.9,9.1,9.4,57.6,82.9,93.0,3.0
28.8,21.8,9.0,4.0,6.0,5.2,2.2,82.7,64.9,50.0,0.0
68.8,22.3,6.0,4.0,2.9,1.0,2.7,85.9,36.8,33.6,0.0
75.2,32.0,5.0,3.0,3.3,1.8,1.3,86.1,66.0,60.5,0.0
89.7,86.9,3.0,1.0,8.4,5.8,10.0,52.1,84.5,84.0,3.0
70.7,21.1,7.0,4.0,1.0,6.1,3.9,67.2,59.8,67.5,0.0
69.1,31.5,5.0,3.0,4.1,4.7,3.6,98.4,55.1,70.7,0.0
89.5,88.8,1.0,0.0,9.7,6.0,7.7,85.7,96.9,84.1,3.0
97.9,83.3,3.0,1.0,9.2,6.0,6.5,52.8,99.2,96.5,3.0
69.3,68.4,6.0,2.0,5.0,0.1,2.7,83.5,56.9,56.3,0.0
37.9,25.4,4.0,4.0,5.6,1.5,0.3,67.2,42.1,48.4,0.0
52.1,35.2,4.0,3.0,5.4,0.9,2.3,97.4,67.8,48.9,0.0
77.5,88.3,3.0,1.0,9.8,5.7,8.8,78.9,80.9,84.1,3.0
91.1,98.0,0.0,1.0,7.8,9.8,9.8,51.8,80.3,91.0,3.0
99.7,86.7,1.0,0.0,9.5,7.3,8.3,54.6,94.4,94.7,3.0
99.7,99.7,2.0,0.0,7.3,9.2,6.5,85.8,89.7,75.4,3.0
77.8,88.4,0.0,1.0,8.3,6.2,8.4,74.4,90.4,93.2,3.0
60.4,35.1,4.0,2.0,6.0,5.9,2.1,84.2,47.7,70.5,0.0
90.6,82.5,2.0,1.0,10.0,7.2,7.8,91.0,92.5,96.3,3.0
36.8,56.0,7.0,3.0,3.1,5.8,2.0,93.1,42.5,41.5,0.0
30.0,43.7,4.0,2.0,3.2,5.2,1.9,71.2,68.3,55.3,0.0
98.5,97.5,3.0,3.0,2.3,7.6,7.4,74.3,91.4,80.6,2.0
85.7,84.5,0.0,1.0,7.1,5.6,9.0,57.0,79.5,78.6,3.0
99.3,94.8,0.0,0.0,8.1,6.7,6.6,76.5,98.5,89.9,3.0
76.2,95.1,0.0,4.0,3.6,6.5,8.4,74.3,87.8,83.6,2.0
99.6,84.4,0.0,0.0,7.6,9.7,9.1,92.9,78.0,87.4,3.0
80.8,90.7,2.0,0.0,8.2,8.5,7.7,71.6,82.8,85.7,3.0
47.3,34.5,6.0,3.0,5.0,4.3,4.2,42.6,63.8,40.9,0.0
42.1,39.8,6.0,3.0,2.7,1.2,2.6,80.2,66.2,45.7,0.0
38.0,60.8,5.0,4.0,2.0,4.2,3.8,91.8,60.9,52.2,0.0
75.8,42.4,8.0,4.0,5.3,4.4,9.0,94.5,86.8,42.4,0.0
76.9,96.6,0.0,1.0,8.4,7.3,9.2,58.9,95.2,91.3,3.0
28.4,27.5,4.0,4.0,5.9,0.6,3.2,84.2,69.6,53.6,0.0
84.7,98.4,2.0,0.0,9.4,7.9,6.3,83.6,82.1,93.1,3.0
43.3,63.7,8.0,3.0,5.6,2.2,3.3,91.3,58.4,33.8,0.0
32.0,36.4,9.0,2.0,4.2,3.0,1.8,73.6,38.6,72.6,0.0
76.9,82.8,0.0,0.0,9.0,9.3,8.5,73.1,79.5,92.3,3.0
27.4,56.1,6.0,3.0,5.8,4.3,3.8,92.3,39.6,73.5,0.0
62.3,29.7,8.0,5.0,3.3,2.0,1.9,89.3,62.7,66.1,0.0
96.9,92.8,0.0,0.0,7.9,8.6,7.1,52.9,85.9,98.7,3.0
26.5,37.5,4.0,5.0,3.5,1.7,5.0,70.6,67.2,67.8,0.0
40.8,26.9,10.0,5.0,4.5,1.0,3.5,70.1,33.2,41.5,0.0
54.0,56.4,4.0,4.0,2.2,0.9,1.2,96.2,32.5,67.7,0.0
56.6,51.6,9.0,3.0,2.5,0.0,1.8,73.7,56.7,53.6,0.0
68.3,47.2,8.0,2.0,3.0,3.3,3.2,47.6,30.6,65.5,0.0
67.4,51.4,9.0,4.0,1.7,2.5,1.7,98.3,57.4,74.1,0.0
92.9,82.7,3.0,0.0,7.9,4.3,6.8,88.7,87.9,99.7,3.0
79.8,95.1,2.0,0.0,9.6,6.0,6.5,87.8,93.6,97.4,3.0
52.4,44.8,10.0,4.0,5.0,5.1,9.3,94.5,89.0,44.5,0.0
83.8,93.8,0.0,1.0,8.8,6.6,8.6,90.6,91.8,85.2,3.0
26.7,28.0,10.0,5.0,1.2,0.5,3.9,77.7,52.7,57.2,0.0
67.0,38.6,8.0,3.0,3.6,2.8,3.2,72.3,59.4,52.5,0.0
39.3,33.1,7.0,3.0,6.0,2.0,4.6,72.5,64.1,50.3,0.0
92.0,81.8,2.0,1.0,9.1,7.3,7.2,73.2,92.7,92.5,3.0
99.6,84.5,1.0,3.0,3.2,4.2,8.2,86.1,88.8,90.3,2.0
47.6,43.9,7.0,2.0,1.6,2.2,0.4,80.3,35.1,67.3,0.0
32.1,58.4,8.0,2.0,5.2,3.6,1.5,88.7,39.0,72.6,0.0
79.9,81.6,2.0,0.0,8.9,7.7,6.4,95.9,89.5,79.3,3.0
75.8,36.9,4.0,2.0,1.4,6.6,9.8,96.4,89.6,57.8,1.0
95.2,84.9,3.0,1.0,8.4,8.1,6.6,79.3,83.5,78.6,3.0
83.6,99.8,3.0,3.0,4.6,7.1,6.4,72.5,86.2,78.5,2.0
97.6,99.3,2.0,1.0,7.6,5.0,10.0,87.6,87.4,77.3,3.0
57.1,32.0,4.0,2.0,2.4,4.2,4.2,92.9,30.3,34.8,0.0
85.1,87.3,0.0,1.0,7.2,7.4,7.5,77.7,86.3,88.7,3.0
32.1,50.6,4.0,5.0,2.9,6.9,8.1,97.7,92.1,48.1,0.0
74.1,27.4,5.0,4.0,5.7,2.2,2.0,98.4,53.7,52.8,0.0
51.1,48.1,4.0,4.0,2.7,0.8,2.1,88.0,64.9,58.3,0.0
99.3,93.1,1.0,2.0,2.6,5.0,8.5,98.4,78.7,92.0,2.0
85.3,88.4,1.0,1.0,8.5,7.7,7.9,64.5,92.6,88.0,3.0
45.7,43.9,5.0,5.0,5.6,2.4,1.8,97.2,55.7,61.2,0.0
89.0,84.9,1.0,1.0,9.3,8.2,8.8,79.6,89.0,98.4,3.0
88.6,91.5,3.0,1.0,9.9,8.8,7.2,84.3,83.7,86.1,3.0
54.6,30.1,8.0,4.0,1.7,4.3,8.8,97.7,81.5,58.7,0.0
55.3,20.3,5.0,5.0,4.3,6.2,9.5,97.2,83.5,42.8,0.0
27.1,62.5,5.0,5.0,5.4,1.2,4.6,51.9,49.8,72.1,0.0
25.5,63.8,8.0,2.0,5.6,2.3,2.3,95.2,65.6,36.0,0.0
83.3,96.2,3.0,1.0,9.2,4.1,7.3,83.5,79.8,90.3,3.0
83.2,88.6,3.0,0.0,7.6,4.8,7.3,75.2,80.9,93.8,3.0
75.3,94.5,2.0,0.0,7.2,4.7,7.2,80.1,97.4,92.6,3.0
82.4,98.3,1.0,0.0,9.9,6.9,7.8,57.4,92.5,97.8,3.0
66.9,61.3,9.0,2.0,3.6,3.7,1.8,43.4,63.2,70.6,0.0
72.0,28.2,7.0,2.0,4.4,5.0,2.4,53.3,32.2,35.9,0.0
62.0,47.9,6.0,2.0,3.0,5.7,3.7,70.9,43.8,32.9,0.0
76.4,23.5,4.0,4.0,3.0,5.4,3.8,59.3,46.8,74.7,0.0
45.7,65.3,9.0,3.0,4.3,2.4,8.0,94.4,90.1,40.0,0.0
70.3,46.6,5.0,5.0,2.7,1.9,4.7,91.1,62.4,48.9,0.0
36.3,20.8,4.0,2.0,3.2,4.7,4.4,70.9,47.6,54.3,0.0
79.6,27.0,5.0,4.0,3.9,5.4,4.1,87.5,69.4,53.5,0.0
89.8,91.1,1.0,1.0,8.7,4.3,7.4,93.8,88.1,92.4,3.0
88.4,83.7,1.0,0.0,7.9,8.2,9.2,61.2,99.2,88.9,3.0
91.2,84.1,3.0,1.0,7.3,8.3,6.8,83.5,90.1,96.8,3.0
55.7,56.2,7.0,3.0,5.3,2.3,4.8,88.7,68.5,35.3,0.0
58.2,32.1,5.0,5.0,5.6,3.9,3.9,80.7,44.4,41.8,0.0
79.0,24.9,7.0,4.0,5.6,2.6,2.1,74.4,35.8,41.7,0.0
33.4,40.9,6.0,3.0,2.9,5.8,2.5,96.8,40.3,67.0,0.0
34.3,44.5,10.0,4.0,1.8,5.0,9.7,99.6,90.0,32.6,0.0
71.3,40.6,5.0,2.0,4.5,0.1,2.5,82.4,56.7,57.7,0.0
55.3,20.3,4.0,2.0,3.6,1.9,4.9,86.3,57.0,66.3,0.0
78.7,81.9,1.0,1.0,9.4,5.6,7.6,78.1,89.1,99.8,3.0
61.0,62.4,10.0,2.0,1.5,2.7,2.8,70.2,36.9,52.5,0.0
72.2,48.3,4.0,2.0,2.1,6.3,3.5,75.4,67.0,60.8,0.0
34.9,52.9,10.0,4.0,1.1,1.5,0.7,64.5,67.2,43.5,0.0
62.2,62.5,8.0,4.0,2.9,5.2,8.5,92.6,89.1,45.6,0.0
78.3,49.8,6.0,2.0,4.2,5.5,2.3,81.1,45.0,38.4,0.0
82.4,95.4,1.0,3.0,3.3,4.9,8.8,97.4,82.9,77.7,2.0
29.8,25.1,7.0,5.0,3.8,3.6,0.5,81.1,53.9,65.3,0.0
94.5,88.3,1.0,0.0,9.1,5.0,7.1,72.9,79.2,81.9,3.0
76.9,38.1,9.0,5.0,4.0,1.4,0.5,89.0,43.3,57.9,0.0
95.4,86.7,1.0,1.0,8.0,9.7,6.8,89.3,99.2,82.3,3.0
38.3,48.8,7.0,4.0,5.1,2.8,0.6,81.8,51.8,60.7,0.0
64.0,43.1,7.0,4.0,5.2,0.5,4.2,96.7,35.6,43.6,0.0
84.4,88.5,3.0,1.0,8.7,7.2,9.7,58.3,75.9,99.2,3.0
75.3,49.7,4.0,3.0,4.3,2.5,3.2,89.7,57.1,48.0,0.0
25.6,41.5,6.0,3.0,3.6,3.6,2.9,78.9,45.6,64.8,0.0
26.4,37.2,4.0,4.0,3.1,6.7,0.6,44.2,42.5,50.5,0.0
49.1,43.8,9.0,5.0,2.6,2.1,4.1,87.0,55.9,60.5,0.0
34.6,32.2,5.0,4.0,3.8,6.7,9.2,93.6,88.9,49.4,0.0
80.1,94.1,0.0,0.0,9.4,7.2,7.5,72.3,91.8,87.2,3.0
84.8,87.8,0.0,1.0,8.1,6.7,6.7,98.0,98.0,89.8,3.0
77.9,84.8,2.0,0.0,8.5,6.5,6.6,73.7,90.9,92.3,3.0
51.9,47.7,5.0,3.0,2.6,3.2,0.3,70.2,35.5,66.7,0.0
62.7,44.7,7.0,5.0,3.4,0.6,0.2,92.9,41.0,54.2,0.0
67.1,57.1,8.0,2.0,3.9,1.9,2.7,56.2,60.3,64.2,0.0
93.4,88.5,1.0,1.0,9.6,4.2,7.1,51.7,96.6,77.9,3.0
92.2,94.8,3.0,0.0,8.8,8.7,9.3,61.3,88.3,89.9,3.0
56.5,34.6,10.0,2.0,1.7,5.3,2.1,75.5,56.2,61.6,0.0
81.2,86.4,3.0,1.0,7.4,7.8,8.5,71.5,94.9,94.2,3.0
73.3,54.7,7.0,5.0,2.6,0.0,3.9,97.3,48.3,59.9,0.0
80.4,90.7,3.0,0.0,8.5,5.9,7.1,72.6,96.3,94.7,3.0
59.4,22.3,10.0,5.0,1.1,6.5,0.8,89.8,47.1,74.8,0.0
73.1,35.1,6.0,2.0,4.3,1.8,1.9,44.9,45.9,43.7,0.0
92.6,93.1,0.0,0.0,8.4,4.8,6.9,90.1,92.4,95.4,3.0
76.8,82.6,3.0,0.0,9.2,4.6,7.3,52.7,94.3,93.8,3.0
54.2,27.1,4.0,3.0,3.2,5.1,8.2,98.0,88.8,68.7,0.0
82.9,99.3,1.0,0.0,7.8,4.5,8.2,96.1,94.5,92.3,3.0
53.5,35.1,8.0,3.0,4.7,2.1,0.3,68.5,49.8,35.1,0.0
78.8,46.4,6.0,4.0,1.7,6.0,2.8,83.7,60.5,73.0,0.0
81.6,81.4,0.0,0.0,9.8,6.4,7.1,97.7,85.6,85.1,3.0
29.6,27.6,4.0,3.0,5.9,1.1,1.6,85.3,56.0,58.9,0.0
81.0,99.1,1.0,2.0,4.1,4.7,8.4,83.3,91.5,79.4,2.0
88.1,99.1,2.0,0.0,8.1,8.5,9.5,91.2,97.5,83.4,3.0
78.6,33.1,9.0,2.0,3.5,3.6,0.3,45.0,36.3,64.8,0.0
65.7,25.8,4.0,2.0,5.3,0.1,9.6,97.7,89.8,73.2,1.0
97.9,85.0,2.0,4.0,2.2,7.4,6.5,90.5,80.6,87.9,1.0
71.5,34.1,6.0,2.0,3.8,0.1,1.0,76.1,54.9,50.9,0.0
35.7,58.6,8.0,3.0,1.8,6.5,0.1,82.7,57.7,30.4,0.0
65.6,38.8,6.0,2.0,2.0,6.9,8.5,98.8,86.2,42.6,0.0
66.1,42.9,8.0,2.0,3.5,4.5,2.0,71.2,56.5,35.9,0.0
46.6,66.3,10.0,4.0,2.6,1.9,0.4,85.6,53.4,37.0,0.0
54.5,40.3,10.0,3.0,3.3,3.2,4.3,86.2,42.2,61.7,0.0
78.7,97.1,1.0,1.0,8.2,4.3,7.2,53.5,98.8,96.4,3.0
30.6,24.7,10.0,3.0,1.6,0.4,3.9,74.0,46.0,60.9,0.0
97.9,91.7,0.0,0.0,10.0,5.2,8.6,51.8,96.2,95.2,3.0
75.8,22.5,7.0,5.0,3.5,2.7,2.1,88.2,41.0,50.1,0.0
60.6,50.8,7.0,5.0,5.4,3.4,0.4,78.4,55.7,65.9,0.0
26.1,47.2,7.0,4.0,3.4,5.5,1.7,76.4,40.8,31.2,0.0
82.0,96.2,3.0,1.0,9.3,10.0,9.9,83.1,81.7,95.4,3.0
80.5,99.9,3.0,1.0,9.8,9.9,6.7,76.4,93.5,84.0,3.0
56.2,37.6,5.0,3.0,5.2,5.7,4.9,73.5,31.5,32.5,0.0
83.3,89.6,1.0,0.0,8.0,5.1,9.2,51.2,78.7,92.6,3.0
84.1,90.5,0.0,1.0,9.1,8.0,8.3,76.5,99.4,93.3,3.0
42.5,44.4,9.0,4.0,2.1,4.1,0.9,83.8,35.1,62.8,0.0
79.7,39.6,8.0,2.0,1.9,2.2,4.0,96.4,34.2,52.3,0.0
83.0,86.9,0.0,1.0,8.3,5.6,7.0,75.1,77.7,75.0,3.0
73.7,68.5,7.0,5.0,2.8,2.6,4.1,95.8,60.3,40.2,0.0
26.1,21.7,6.0,2.0,1.4,1.2,1.9,95.5,65.9,34.2,0.0
26.7,44.1,9.0,3.0,4.0,3.0,0.3,89.5,46.4,54.9,0.0
41.4,53.0,4.0,2.0,3.0,3.8,2.5,70.1,33.5,67.1,0.0
36.4,24.8,9.0,4.0,5.9,3.3,0.6,94.7,65.8,41.9,0.0
84.5,87.4,1.0,4.0,4.4,6.6,7.1,61.2,78.8,92.4,1.0
80.7,95.1,0.0,3.0,3.5,6.5,8.1,59.4,97.0,86.9,2.0
62.3,60.0,8.0,3.0,1.6,5.3,0.9,69.1,62.3,35.7,0.0
79.8,41.8,9.0,3.0,5.2,1.8,4.6,42.0,45.5,47.9,0.0
96.8,89.2,3.0,3.0,4.6,4.9,8.4,99.4,98.1,89.1,2.0
39.5,63.9,9.0,5.0,3.9,3.3,0.9,82.4,57.2,48.1,0.0
27.7,54.5,7.0,4.0,5.5,0.1,9.7,93.1,94.6,61.3,0.0
81.7,96.5,3.0,0.0,7.6,5.3,9.3,97.6,96.7,95.5,3.0
87.7,86.2,1.0,0.0,7.5,9.3,6.8,70.7,76.3,84.0,3.0
84.9,89.3,0.0,0.0,7.7,6.9,7.8,59.4,88.8,83.6,3.0
77.3,96.6,0.0,1.0,7.1,9.1,9.1,74.4,80.6,80.2,3.0
78.2,63.2,9.0,2.0,3.4,0.9,0.9,46.7,54.3,72.4,0.0
74.3,33.8,10.0,4.0,3.3,1.5,1.5,82.5,53.4,30.3,0.0
55.9,62.0,8.0,4.0,2.5,0.8,0.3,59.2,64.5,41.8,0.0
33.2,34.9,10.0,3.0,5.5,5.6,4.0,96.6,57.2,62.5,0.0
48.0,33.0,7.0,2.0,3.9,7.0,4.1,84.3,57.5,58.7,0.0
41.5,37.9,5.0,3.0,2.5,3.3,3.7,95.6,66.5,72.6,0.0
37.3,31.1,10.0,4.0,3.1,6.2,1.9,79.3,34.7,32.4,0.0
51.0,51.0,5.0,2.0,5.3,2.7,1.5,87.1,35.5,39.0,0.0
50.2,65.3,6.0,3.0,4.9,3.4,3.2,82.7,30.2,42.3,0.0
87.2,95.3,0.0,0.0,8.8,7.8,7.6,57.6,75.9,80.0,3.0
95.8,86.4,1.0,0.0,9.0,7.8,7.0,93.4,78.2,84.6,3.0
82.5,96.5,2.0,1.0,9.2,7.6,7.4,69.8,83.6,97.5,3.0
98.0,99.0,3.0,0.0,7.7,8.4,6.5,95.9,79.2,84.2,3.0
81.4,97.5,0.0,0.0,9.0,7.9,6.1,94.2,84.5,88.7,3.0
90.8,93.9,2.0,1.0,9.0,8.0,7.1,91.4,95.8,77.6,3.0
77.7,82.3,1.0,0.0,9.3,9.0,9.9,78.2,79.0,88.7,3.0
37.9,44.0,4.0,2.0,5.5,5.8,8.5,93.8,94.8,62.6,1.0
77.5,89.3,1.0,2.0,4.0,6.2,8.7,72.3,96.3,97.3,2.0
85.9,87.2,2.0,0.0,8.1,6.1,6.5,79.1,95.9,92.2,3.0
79.2,97.7,1.0,0.0,9.9,9.1,6.4,59.6,89.2,86.0,3.0
72.4,50.6,10.0,3.0,3.4,3.4,4.4,71.3,56.2,30.6,0.0
64.8,57.2,5.0,4.0,3.6,4.8,3.1,84.5,49.3,59.9,0.0
97.3,96.5,0.0,0.0,8.9,4.9,9.4,67.3,76.9,87.3,3.0
37.2,22.5,9.0,5.0,3.0,1.6,9.0,97.2,81.5,50.1,0.0
75.0,91.1,0.0,1.0,9.7,7.4,8.6,76.8,95.6,95.4,3.0
90.0,95.3,2.0,1.0,7.3,8.6,6.9,86.6,99.1,82.3,3.0
34.0,22.3,5.0,5.0,1.5,4.3,0.9,51.7,48.3,65.2,0.0
98.2,88.3,0.0,1.0,8.4,7.5,8.0,50.1,93.4,88.8,3.0
68.0,66.2,5.0,3.0,4.7,0.9,1.9,98.8,50.2,47.3,0.0
40.0,58.1,6.0,4.0,3.3,0.9,2.1,97.5,42.0,61.6,0.0
59.8,66.8,5.0,3.0,4.1,2.0,1.7,99.8,56.0,73.1,0.0
31.3,36.1,6.0,5.0,3.9,6.6,3.6,98.9,51.4,69.5,0.0
77.7,80.3,3.0,3.0,2.6,4.3,7.1,99.8,92.1,78.7,1.0
84.0,90.8,3.0,0.0,8.8,8.1,8.2,82.9,84.7,87.8,3.0
92.3,93.9,0.0,1.0,8.2,9.7,9.9,81.0,75.3,81.3,3.0
96.8,95.6,1.0,1.0,9.3,7.3,8.4,99.6,82.4,79.4,3.0
79.3,83.7,0.0,1.0,7.1,5.7,7.1,86.9,75.1,86.7,3.0
98.2,80.8,0.0,3.0,3.2,7.4,7.4,93.2,80.5,79.6,2.0
77.3,90.7,1.0,0.0,9.0,6.0,7.2,62.3,86.9,89.0,3.0
77.9,93.0,2.0,1.0,7.7,7.9,9.7,70.8,97.1,84.5,3.0
81.4,82.3,2.0,0.0,9.7,8.9,7.5,58.9,76.1,97.5,3.0
98.7,90.3,1.0,0.0,8.9,5.3,8.5,83.7,95.9,80.1,3.0
93.5,97.6,3.0,0.0,9.2,4.9,7.8,71.8,76.4,94.9,3.0
80.7,91.5,2.0,1.0,8.2,7.8,7.7,83.5,88.4,91.0,3.0
89.6,95.1,0.0,1.0,9.8,4.6,9.1,71.7,94.1,85.9,3.0
86.8,93.2,1.0,0.0,9.2,8.8,9.4,82.7,82.5,97.2,3.0
91.2,97.3,0.0,0.0,7.4,4.0,8.4,88.9,82.6,93.7,3.0
85.3,86.9,1.0,0.0,7.6,7.7,7.0,83.4,89.2,76.4,3.0
88.7,99.8,0.0,1.0,9.0,5.5,6.8,89.0,83.9,91.8,3.0
76.7,85.7,1.0,1.0,8.5,6.0,8.6,91.5,89.2,95.2,3.0
82.8,83.4,1.0,1.0,7.8,6.2,8.7,79.6,86.1,94.4,3.0
91.1,82.2,0.0,3.0,4.4,4.8,8.2,87.7,76.9,76.9,2.0
94.2,91.6,1.0,0.0,8.7,7.3,10.0,85.5,84.1,80.6,3.0
82.3,94.7,3.0,0.0,8.2,7.0,8.7,66.1,90.4,79.1,3.0
79.5,88.9,1.0,1.0,9.8,4.2,9.0,75.3,80.9,91.7,3.0
84.7,95.8,3.0,0.0,7.1,7.9,6.4,62.6,81.8,93.5,3.0
84.4,91.4,3.0,1.0,8.8,9.4,6.3,89.5,80.6,85.1,3.0
60.0,62.7,3.0,2.0,5.3,4.2,5.4,67.7,63.8,63.5,1.0
52.5,24.7,8.0,5.0,2.1,1.5,2.4,65.8,34.1,47.7,0.0
84.0,72.5,4.0,2.0,7.1,6.3,6.2,78.4,86.2,80.9,2.0
71.8,57.7,3.0,2.0,6.8,3.3,3.9,76.1,53.0,61.0,1.0
74.1,84.5,2.0,2.0,8.1,7.0,6.7,76.5,71.8,80.8,2.0
89.8,89.3,1.0,1.0,8.4,7.7,9.2,89.0,93.9,88.2,3.0
86.1,72.0,1.0,2.0,6.9,8.4,6.2,77.9,80.6,85.1,2.0
80.2,74.3,3.0,1.0,8.2,7.6,6.2,77.8,79.3,84.7,2.0
57.1,54.9,5.0,3.0,5.9,5.7,6.1,63.6,64.2,69.8,0.0
90.0,89.7,2.0,1.0,8.7,9.0,9.9,94.7,92.9,97.8,3.0
72.1,73.0,2.0,2.0,7.8,5.9,6.5,91.0,75.0,70.5,2.0
70.1,63.3,3.0,2.0,4.2,3.1,3.5,69.1,64.6,63.9,0.0
79.6,82.0,1.0,2.0,6.7,5.0,6.2,91.4,74.3,71.8,2.0
